ID;user_id;food_item;jumlah;tanggal_beli;stock;like
12019;arie;Eggs;2;16/05/2023;6;1
12019;arie;Milk;1;24/04/2023;12;0,9
12019;arie;Rice;2;08/05/2023;4;0,7
12019;arie;Banana;1;21/04/2023;5;1
12019;arie;Pasta;3;13/05/2023;4;0,8
20198;rowan;Apple;2;26/04/2023;9;0,8
20198;rowan;Orange;1;07/05/2023;7;0,6
20198;rowan;Bread;3;18/04/2023;8;0,4
20198;rowan;Tomato;2;11/05/2023;7;0,9
20198;rowan;Chicken;1;29/04/2023;8;0,9
20198;rowan;Eggs;2;15/05/2023;6;1
20198;rowan;Milk;1;22/04/2023;12;0,9
20198;rowan;Rice;2;10/05/2023;4;0,7
20198;rowan;Banana;1;27/04/2023;5;1
20198;rowan;Pasta;3;17/05/2023;4;0,8
20392;lila;Apple;2;25/04/2023;9;0,8
20392;lila;Orange;1;09/05/2023;7;0,6
20392;lila;Bread;3;23/04/2023;8;0,4
20392;lila;Tomato;2;10/05/2023;7;0,9
20392;lila;Chicken;1;30/04/2023;8;0,9
20392;lila;Eggs;2;16/05/2023;6;1
20392;lila;Milk;1;24/04/2023;12;0,9
20392;lila;Rice;2;08/05/2023;4;0,7
20392;lila;Banana;1;21/04/2023;5;1
20392;lila;Pasta;3;13/05/2023;4;0,8
84920;evan;Apple;2;26/04/2023;9;0,8
84920;evan;Orange;1;07/05/2023;7;0,6
84920;evan;Bread;3;18/04/2023;8;0,4
84920;evan;Tomato;2;11/05/2023;7;0,9
84920;evan;Chicken;1;29/04/2023;8;0,9
84920;evan;Eggs;2;15/05/2023;6;1
84920;evan;Milk;1;22/04/2023;12;0,9
84920;evan;Rice;2;10/05/2023;4;0,7
84920;evan;Banana;1;27/04/2023;5;1
84920;evan;Pasta;3;17/05/2023;4;0,8
33452;nora;Apple;2;25/04/2023;9;0,8
33452;nora;Orange;1;09/05/2023;7;0,6
33452;nora;Bread;3;23/04/2023;8;0,4
33452;nora;Tomato;2;10/05/2023;7;0,9
33452;nora;Chicken;1;30/04/2023;8;0,9
33452;nora;Eggs;2;16/05/2023;6;1
33452;nora;Milk;1;24/04/2023;12;0,9
33452;nora;Rice;2;08/05/2023;4;0,7
33452;nora;Banana;1;21/04/2023;5;1
33452;nora;Pasta;3;13/05/2023;4;0,8
12321;leo;Apple;2;26/04/2023;9;0,8
12321;leo;Orange;1;07/05/2023;7;0,6
12321;leo;Bread;3;18/04/2023;8;0,4
12321;leo;Tomato;2;11/05/2023;7;0,9
12321;leo;Chicken;1;29/04/2023;8;0,9
12321;leo;Eggs;2;15/05/2023;6;1
12321;leo;Milk;1;22/04/2023;12;0,9
12321;leo;Rice;2;10/05/2023;4;0,7
12321;leo;Banana;1;27/04/2023;5;1
12321;leo;Pasta;3;17/05/2023;4;0,8
34256;adam;Apple;2;25/04/2023;9;0,8
34256;adam;Orange;1;09/05/2023;7;0,6
34256;adam;Bread;3;23/04/2023;8;0,4
34256;adam;Tomato;2;10/05/2023;7;0,9
34256;adam;Chicken;1;30/04/2023;8;0,9
34256;adam;Eggs;2;16/05/2023;6;1
34256;adam;Milk;1;24/04/2023;12;0,9
34256;adam;Rice;2;08/05/2023;4;0,7
34256;adam;Banana;1;21/04/2023;5;1
34256;adam;Pasta;3;13/05/2023;4;0,8
